82ag73b1g16b2g14b3g14au16b1u76b2u79b3u,HL,-4513.4488469318,0.000,0.000,3.242,1.597,trip
82ag73b1g16b2g14b3g13au17b1u76b2u79b3u,HL+2,-4513.4444404766,0.120,0.000,2.173,1.523,trip
82ag73b1g16b2g14b3g14au16b1u76b2u79b3u,HL,-4513.4371342176,0.319,0.000,2.049,1.598,sing
82ag73b1g16b2g14b3g14au16b1u76b2u79b3u,H-1HLL,-4513.4366086119,0.333,0.000,2.151,1.672,trip
82ag73b1g16b2g15b3g13au16b1u76b2u79b3u,HL+1,-4513.4335142149,0.417,0.000,3.143,1.596,trip
82ag73b1g16b2g15b3g13au16b1u76b2u79b3u,HL+1,-4513.4251150911,0.646,0.000,2.060,1.600,sing
82ag73b1g15b2g14b3g14au17b1u76b2u79b3u,HHLL+2,-4513.4245341980,0.662,0.000,3.177,1.559,trip
82ag73b1g16b2g14b3g13au17b1u76b2u79b3u,H-1L+2,-4513.4245193122,0.662,0.000,2.053,1.591,trip
82ag73b1g16b2g14b3g13au17b1u76b2u79b3u,HL+2,-4513.4235580420,0.688,0.000,1.052,1.589,sing
82ag73b1g16b2g14b3g13au16b1u76b2u79b3u,closed-shell,-4513.4235158700,0.689,0.000,1.037,1.590,sing
82ag73b1g16b2g14b3g14au16b1u76b2u79b3u,H-1L,-4513.4209472523,0.759,0.000,2.105,1.664,trip
82ag73b1g15b2g15b3g14au16b1u76b2u79b3u,HHLL+1,-4513.4201705455,0.780,0.000,3.856,1.632,trip
82ag73b1g15b2g14b3g14au17b1u76b2u79b3u,HHLL+2,-4513.4193204941,0.803,0.000,1.599,1.581,sing
82ag73b1g15b2g14b3g14au16b1u76b2u79b3u,HHLL,-4513.4185230897,0.825,0.000,1.912,1.621,sing
82ag73b1g16b2g14b3g14au17b1u76b2u79b3u,H-1HLL+2,-4513.4182953810,0.831,0.000,3.050,1.599,trip
82ag73b1g15b2g14b3g13au17b1u76b2u79b3u,HHL+2L+2,-4513.4169375517,0.868,0.000,0.000,1.523,sing
82ag73b1g16b2g14b3g14au16b1u76b2u79b3u,H-2HLL,-4513.4169353641,0.868,0.000,3.155,1.618,trip
82ag73b1g16b2g14b3g14au17b1u76b2u79b3u,H-1HLL+2,-4513.4161176699,0.891,0.000,2.039,1.598,sing
82ag73b1g16b2g14b3g14au16b1u76b2u79b3u,H-1L,-4513.4160743834,0.892,0.000,1.048,1.599,sing
82ag73b1g16b2g14b3g14au16b1u76b2u79b3u,H-1HLL,-4513.4158359607,0.898,0.000,1.055,1.607,sing
82ag73b1g16b2g14b3g14au17b1u76b2u79b3u,H-2HLL+2,-4513.4156932649,0.902,0.000,3.067,1.557,trip
82ag73b1g15b2g15b3g13au17b1u76b2u79b3u,HHL+1L+2,-4513.4134398475,0.963,0.000,3.130,1.558,trip
82ag73b1g16b2g15b3g14au16b1u76b2u79b3u,H-1HLL+1,-4513.4111877553,1.025,0.000,3.097,1.632,trip
82ag73b1g15b2g15b3g14au17b1u76b2u79b3u,H-1HHLL+1L+2,-4513.4105921792,1.041,0.000,2.738,1.614,sing
